Gene	SRR6255584	SRR6255585	SRR6255586	SRR6255587	SRR6255588	SRR6255589
ENSMUSG00000000001	9667.341	8255.756	7030.2954	10527.611	10732.063	11340.703
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028	1297.3167	1144.125	1422.8679	1055.1289	1053.6158	1305.9235
ENSMUSG00000000031	0.0	0.0	0.0	0.0	0.9905295	0.0
ENSMUSG00000000037	0.0	1.9946284	0.0	0.0	0.0	0.0
ENSMUSG00000000049	0.99868613	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000056	1578.5902	2051.3625	1021.2221	817.476	1080.6132	1226.3212
ENSMUSG00000000058	3.6969767	66.14506	51.049885	0.0	1.8452017	0.0
ENSMUSG00000000078	3048.8508	3829.0376	3159.3423	5579.1533	7898.124	5784.2456
ENSMUSG00000000085	1260.9868	1178.2992	1299.1512	989.31757	1085.196	1157.9402
ENSMUSG00000000088	4191.1084	4292.2114	5407.4814	4776.67	4330.9917	4917.8506
ENSMUSG00000000093	4.0160503	8.080191	6.9956474	5.042806	4.913231	4.8822465
ENSMUSG00000000094	0.0	1.0074873	0.99376315	0.0	0.0	0.99261177
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.0	0.0	0.0	0.0	0.0	1.0036333
ENSMUSG00000000125	0.0	0.0	0.99804	0.0	0.0	0.9984378
ENSMUSG00000000126	0.0	0.0	0.0	1.0038056	0.98376274	0.0
ENSMUSG00000000127	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000131	5666.5386	4691.401	5847.85	3625.1323	3361.004	3689.2004
ENSMUSG00000000134	896.918	964.0444	1001.73645	1164.8035	1420.1597	971.6129
ENSMUSG00000000142	37.280167	33.616364	109.84833	66.7502	141.27129	73.32063
ENSMUSG00000000148	531.6315	511.8546	521.68304	474.78796	383.6254	417.911
ENSMUSG00000000149	726.32184	614.397	836.49963	866.3124	985.3897	827.67267
ENSMUSG00000000154	0.0	0.0	1.9266561	3.087633	0.0	0.0
ENSMUSG00000000157	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000159	0.0	0.0	0.0	0.0	0.9905235	0.0
ENSMUSG00000000167	45.748627	31.05808	18.607685	51.56649	17.217129	31.88706
ENSMUSG00000000168	2350.8545	2414.3384	2546.1653	2440.1494	2673.1555	2157.8577
ENSMUSG00000000171	5554.817	5084.7637	6069.876	6049.0884	5563.4785	5355.35
ENSMUSG00000000182	1.0063571	0.0	2.0056815	353.63837	226.42679	2611.5242
ENSMUSG00000000183	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000184	12925.862	8874.436	10505.095	12557.585	9250.076	9213.332
ENSMUSG00000000194	774.4438	1111.6683	1271.7507	960.3842	935.54987	783.21783
ENSMUSG00000000197	5.046315	5.0158553	4.776273	0.0	0.0	1.2705728
ENSMUSG00000000202	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000204	8654.053	10561.581	5579.771	3526.7722	311.74747	449.35852
ENSMUSG00000000214	0.9858418	0.0	0.0	1.0100952	0.0	0.0
ENSMUSG00000000215	0.0	0.0	1.9775405	1.0024204	0.0	0.0
ENSMUSG00000000216	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000223	72.286255	40.988613	15.977813	26.116852	18.95507	56.11372
ENSMUSG00000000244	568.19135	1048.4769	1008.4596	1904.1017	971.6702	1324.0309
ENSMUSG00000000247	0.0	0.0	0.0	1.0085933	0.9868713	3.1464472
ENSMUSG00000000248	351.6172	222.39944	516.1449	75.79431	71.196365	77.4518
ENSMUSG00000000253	882.4833	864.4685	1058.2424	680.0497	733.1471	746.9317
